"","PROBEID","ENTREZID","SYMBOL","GENENAME","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"17275158","17275158",NA,NA,NA,-0.504671482003438,3.44093646352868,-6.90242357585974,1.2016520528408e-06,0.0371550814738375,4.99298971767063
"17367531","17367531","100628608","Mir3967","microRNA 3967",-0.865709390394453,3.82788614220827,-6.54179036292778,2.53261515439809e-06,0.0391542302869944,4.39590663498201
"17302695","17302695",NA,NA,NA,0.466212525412964,3.42254768130555,6.11418487725445,6.26760340934917e-06,0.0587331441799945,3.65885074370434
"17221432","17221432",NA,NA,NA,0.812436228676278,7.12491453803774,5.9938539842632,8.12206652091221e-06,0.0587331441799945,3.44588395888485
"17494408","17494408","209387","Trim30d","tripartite motif-containing 30D",1.80372211571453,4.25643666786644,5.92161764897168,9.49759770051658e-06,0.0587331441799945,3.31689428841867
"17407531","17407531","100043188","Gm10696","predicted gene 10696",0.459830581831935,4.84848769523571,5.80533353571627,1.22340295825419e-05,0.0630460324486992,3.10747879670369
"17345738","17345738",NA,NA,NA,0.331505540522114,3.06723834408516,5.71229577149201,1.49984178562553e-05,0.0634069830572524,2.93838096695934
"17296436","17296436","52552","Parp8","poly (ADP-ribose) polymerase family, member 8",-0.872662351053595,5.84048668232871,-5.55641715556003,2.11470442828412e-05,0.0634069830572524,2.65206713361348
"17335165","17335165",NA,NA,NA,0.325104978909705,2.84683362953343,5.49292863103335,2.4342044252218e-05,0.0634069830572524,2.53440323392134
"17492985","17492985","11864","Arnt2","aryl hydrocarbon receptor nuclear translocator 2",-0.601211792900809,3.62485918026213,-5.47810495990246,2.51566126024601e-05,0.0634069830572524,2.50684475797704
"17213179","17213179","66495","Ndufb3","NADH dehydrogenase (ubiquinone) 1 beta subcomplex 3",0.535062438808798,7.92289097072446,5.47140921474749,2.55336281870031e-05,0.0634069830572524,2.49438625625458
"17421332","17421332","545700","Smarca5-ps","SWI/SNF related, matrix associated, actin depenent ragulator of chromatin, subfamily a, member 5, pseudogene",-0.582827825522741,3.6722215738566,-5.46366196108451,2.59770630909051e-05,0.0634069830572524,2.47996309714865
"17362966","17362966","100504727","BE692007","expressed sequence BE692007",-0.998160839787625,5.83052894571787,-5.45201063989459,2.66588221133338e-05,0.0634069830572524,2.45825525268697
"17548334","17548334","56351","Ptges3","prostaglandin E synthase 3",0.445844775643709,10.114803180255,5.38234411688265,3.11346056751385e-05,0.0687630005339486,2.3280499769159
"17380263","17380263","75485","1700010B08Rik","RIKEN cDNA 1700010B08 gene",0.391083887052922,3.10972930462896,5.32698343078086,3.52339191165586e-05,0.0726288519389327,2.22409121272655
"17214650","17214650",NA,NA,NA,-0.38859867758781,3.38724084417713,-5.29179009702804,3.8122380714664e-05,0.0736715007310882,2.15778193676519
"17392401","17392401","100313519","Snord17","small nucleolar RNA, C/D box 17",-0.723341132104117,9.24800716971299,-5.24546232274324,4.22967352477659e-05,0.0750616082495896,2.07023568261898
"17391347","17391347","53885","Nphp1","nephronophthisis 1 (juvenile) homolog (human)",0.351829077807158,3.07854763490678,5.17977437909454,4.90283391765777e-05,0.0750616082495896,1.94561147715213
"17513835","17513835","77087","Ankrd11","ankyrin repeat domain 11",-0.420369886896179,7.97194720262559,-5.16310749742378,5.09037425701958e-05,0.0750616082495896,1.91390059298144
"17288118","17288118","76251","Ercc6l2","excision repair cross-complementing rodent repair deficiency, complementation group 6 like 2",-0.679386135066818,5.78736237652705,-5.15303392993897,5.20725125120482e-05,0.0750616082495896,1.89471688080504
"17532491","17532491","22599","Slc6a20b","solute carrier family 6 (neurotransmitter transporter), member 20B",0.30807962971755,2.73617456887676,5.12575321359714,5.5376837794852e-05,0.0750616082495896,1.84269906962006
"17481721","17481721",NA,NA,NA,-0.744687102655517,4.88114564894202,-5.12288085555945,5.57369448780411e-05,0.0750616082495896,1.83721664059189
"17280039","17280039",NA,NA,NA,-0.648740882128942,4.0124284063316,-5.09311966846942,5.96113919063784e-05,0.0750616082495896,1.78035050872845
"17224251","17224251","227288","Cxcr1","chemokine (C-X-C motif) receptor 1",-0.756096981437652,2.91743239262966,-5.08495737190231,6.07211358087055e-05,0.0750616082495896,1.76473498968633
"17440530","17440530","231603","A630023P12Rik","RIKEN cDNA A630023P12 gene",-0.890684941569779,3.90791244507536,-5.0716179317446,6.25802075855227e-05,0.0750616082495896,1.73919709087026
"17463810","17463810",NA,NA,NA,-0.534198725403028,3.61229763725223,-5.06783574092209,6.31177818398878e-05,0.0750616082495896,1.73195220674619
"17508380","17508380","270035","Letm2","leucine zipper-EF-hand containing transmembrane protein 2",-0.567626618542468,4.45502883363463,-5.02382820670751,6.97291297524241e-05,0.0798527663683316,1.64752583996218
"17330742","17330742","433022","Plcxd2","phosphatidylinositol-specific phospholipase C, X domain containing 2",-0.624821198219327,4.92353447508189,-4.99067746462763,7.5171199227922e-05,0.0800953085379358,1.58377342205436
"17471840","17471840","66441","Magohb","mago homolog B, exon junction complex core component",0.821437757835016,7.28645018576746,4.98620866032344,7.59371228640438e-05,0.0800953085379358,1.57516945242902
"17498554","17498554","319493","A430078G23Rik","RIKEN cDNA A430078G23 gene",-0.624424478877234,4.25815943355847,-4.9760259321443,7.77121363563413e-05,0.0800953085379358,1.55555546032894
"17344784","17344784","76497","Ppp1r11","protein phosphatase 1, regulatory (inhibitor) subunit 11",0.427771689824183,7.93840973646731,4.93724195976645,8.48678061966644e-05,0.0846487925032536,1.48073923085045
"17490050","17490050","434178","Zfp141","zinc finger protein 141",-0.648180607246858,5.54457867548831,-4.90022108454154,9.23224131379592e-05,0.0892065316945531,1.40916383838281
"17349474","17349474","277250","Kdm3b","KDM3B lysine (K)-specific demethylase 3B",-0.374874121268927,7.29572245216412,-4.87875579750645,9.69458038390564e-05,0.0902742893785488,1.36759313756066
"17456721","17456721","319757","Smo","smoothened, frizzled class receptor",-0.460926899550863,3.71187711871807,-4.86836904539354,9.92666830165155e-05,0.0902742893785488,1.34745946072911
"17218565","17218565","100217414","Scarna3a","small Cajal body-specific RNA 3A",-0.768701144015995,6.2283558301938,-4.83757057496982,0.000106485367954482,0.0940722164900741,1.28769099414938
"17249914","17249914",NA,NA,NA,-0.410912887502624,2.73152721353615,-4.76016800716717,0.000127069364360424,0.0966080658155895,1.13704084324371
"17348280","17348280",NA,NA,NA,-0.487738883701653,3.32018891508145,-4.75904718061487,0.000127395354832093,0.0966080658155895,1.13485486220974
"17293974","17293974","238692","Zfp874a","zinc finger protein 874a",-0.678827950881972,4.76840711430072,-4.74540718556013,0.000131431087699192,0.0966080658155895,1.10824236054545
"17241637","17241637","641340","Nrbf2","nuclear receptor binding factor 2",0.370156942559745,6.97459631729373,4.73906830143599,0.000133350445968482,0.0966080658155895,1.09586853017125
"17508848","17508848",NA,NA,NA,0.450587956816718,3.75729675956876,4.73858989289241,0.000133496450948904,0.0966080658155895,1.09493449158808
"17523736","17523736","110350","Dync2h1","dynein cytoplasmic 2 heavy chain 1",-0.45178754190292,3.72250467496778,-4.73428173935635,0.000134818567288704,0.0966080658155895,1.08652229873619
"17409953","17409953",NA,NA,NA,0.897292682297364,7.21580646923066,4.72380542691463,0.000138089216557367,0.0966080658155895,1.06605847348508
"17306983","17306983","14942","Gzme","granzyme E",2.86633282241426,6.3455916499422,4.71735312564221,0.000140143457241366,0.0966080658155895,1.053449627373
"17259076","17259076","100316690","Mir1932","microRNA 1932",0.844625617840324,4.21287845324934,4.71667338316889,0.000140361662865355,0.0966080658155895,1.05212106638818
"17394694","17394694","56336","B4galt5","UDP-Gal:betaGlcNAc beta 1,4-galactosyltransferase, polypeptide 5",0.626519926435932,8.69915866554119,4.71593104793349,0.000140600354518161,0.0966080658155895,1.05067011670037
"17536969","17536969","22127","Tsx","testis specific X-linked gene",0.511613953032717,3.53747579178113,4.69054681789222,0.000149014551926336,0.100163694468746,1.00102312403423
"17481725","17481725","20841","Zfp143","zinc finger protein 143",-0.439741088557324,6.41384390579086,-4.68112380949547,0.000152266209268041,0.10017172745889,0.982577951490952
"17242700","17242700","73106","Prss57","protease, serine 57",0.42060139376627,3.76322655618452,4.66120651066111,0.000159377487320798,0.100606277538596,0.943563552691873
"17311064","17311064","17749","Polr2k","polymerase (RNA) II (DNA directed) polypeptide K",0.460540745461352,7.14024913292865,4.65875801323371,0.000160274587355165,0.100606277538596,0.938764878428991
"17309420","17309420","239273","Abcc4","ATP-binding cassette, sub-family C (CFTR/MRP), member 4",-0.464552866897495,5.33352745642127,-4.64570556109347,0.000165143765849235,0.100606277538596,0.91317494287141
"17248809","17248809","171285","Havcr2","hepatitis A virus cellular receptor 2",0.653892232219555,8.9336198051093,4.64360354341487,0.000165941790248008,0.100606277538596,0.909052406856678
"17467269","17467269","54486","Hpgds","hematopoietic prostaglandin D synthase",-0.551044627242574,4.1760328367172,-4.60792485674836,0.000180097882950891,0.107088971939261,0.839018801117332
